,Name,Data Type,Percent Missing,Variable Type,Mode,Mode Percentage,Minimum,Maximum,Median
67,Post-Season Tournament,object,0.0,Nominal,Not In a Post-Season Tournament,65.64040889957907,,,
68,Post-Season Tournament Sorting Index,int64,0.0,Ordinal/Numeric,5,65.64040889957907,1,5,5.0
69,Tournament Winner?,object,0.0,Binary,No,99.73541791942273,,,
70,Tournament Championship?,object,0.0,Binary,No,99.47083583884546,,,
71,Final Four?,object,0.0,Binary,No,98.94167167769092,,,
72,Top 12 in AP Top 25 During Week 6?,object,0.0,Binary,No,96.53638003607938,,,
73,Pre-Tournament.Tempo,float64,4.245339747444378,Ordinal/Numeric,0.0,0.12559658377292138,0.0,90.622,67.7442
74,Pre-Tournament.AdjTempo,float64,4.245339747444378,Ordinal/Numeric,64.4191,0.037678975131876416,51.072,89.2172,66.28285
75,Pre-Tournament.OE,float64,4.245339747444378,Ordinal/Numeric,0.0,0.12559658377292138,0.0,124.282,102.287
76,Pre-Tournament.DE,float64,4.245339747444378,Ordinal/Numeric,200.0,0.12559658377292138,83.4843,200.0,102.47
