Mapped ESPN Team Name,public_private
Prairie View A&M,Public
Central Arkansas,Public
SIU Edwardsville,Public
Chicago State,Public
Incarnate Word,Private
Houston Christian,Private
North Carolina A&T,Public
Arkansas-Pine Bluff,Public
Alcorn State,Public
Jackson State,Public
Coppin State,Public
Bethune-Cookman,Private
Florida A&M,Public
Southern Indiana,Public
Alabama A&M,Public
Le Moyne,Private
East Texas A&M,Public
Stonehill,Private
Lindenwood,Private
Mercyhurst,Private
Winston-Salem State,Public
West Georgia,Public
Morris Brown,Private
