UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,APFEE,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
141307,0,1,-2,1,0,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,1,2,3,2,2,1,4,2,"R",161,"R",389,"R",160,"R",388,"R",66,"R",117,"R",25,"R",49,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",20,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",91,"R",166,"R",257,"R",550,"R",548,"R",183,"R",74
141325,0,1,0,1,0,0,4,-2,-2,71,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,1,3,1,1,4,2,"R",0,"R",332,"R",0,"R",128,"R",0,"R",128,"R",0,"R",0,2,"R",107,"R",84,"R",48,"R",38,"R",490,"R",610,"R",460,"R",570,"B",.,"B",.,"R",19,"R",25,"R",19,"R",26,"R",17,"R",24,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,342,2,-2,1,342,-2,1,1,"R",30,"R",30,"A",.,1,1,1,2,1,1,1,2,2,1,"R",622,1,"R",20,"A",.,"A",.,"R",7500,1,"R",0,"R",128,"R",128,"R",332,"R",128,"R",128,"R",0
141334,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,3,3,1,3,3,1,1,3,2,"R",2253,"R",3443,"R",1137,"R",1800,"R",680,"R",998,"R",14,"R",17,1,"R",1399,"R",82,"R",466,"R",27,"R",470,"R",560,"R",460,"R",550,"B",.,"B",.,"R",18,"R",22,"R",18,"R",22,"R",18,"R",22,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,146,1,146,1,146,1,146,-2,1,1,"R",20,"R",20,"A",.,1,1,1,2,1,1,1,2,1,1,"R",3020,2,"A",.,"R",2458,"R",2920,"A",.,2,"R",694,"R",1015,"R",1709,"R",5696,"R",2937,"R",1678,"R",31
141361,0,1,-2,0,0,0,4,-2,-2,71,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,2,3,3,1,1,4,2,"R",704,"R",919,"R",423,"R",519,"R",191,"R",175,"R",13,"R",8,2,"R",371,"R",93,"B",.,"B",.,"R",450,"R",550,"R",450,"R",560,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",30,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,1,"R",530,1,"R",21,"R",1970,"R",2810,"A",.,1,"R",204,"R",183,"R",387,"R",1623,"R",942,"R",366,"R",21
141468,1,1,-2,0,0,0,3,-2,-2,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,3,3,1,3,3,3,3,2,1,1,"R",102,"R",201,"R",86,"R",160,"R",72,"R",122,"R",8,"R",19,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,2,1,"R",40,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",80,"R",141,"R",221,"R",306,"R",246,"R",194,"R",27
141486,0,1,0,0,0,0,4,-2,-2,30,0,0,1,0,1,1,1,0,0,0,0,0,2,1,2,1,2,3,3,1,3,3,2,"R",309,"R",672,"R",289,"R",635,"R",74,"R",174,"R",9,"R",6,2,"R",216,"R",82,"R",42,"R",15,"R",400,"R",510,"R",410,"R",530,"R",0,"R",0,"R",18,"R",22,"R",16,"R",22,"R",16,"R",20,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,156,2,-2,1,156,-2,1,1,"R",50,"R",50,"A",.,1,1,1,2,1,1,1,2,2,1,"R",395,1,"R",14,"R",4810,"R",4400,"A",.,2,"R",83,"R",180,"R",263,"R",981,"R",924,"R",248,"R",15
141565,0,1,1,1,0,0,1,2,0,-2,0,0,0,1,1,1,1,0,1,0,0,0,2,1,2,1,1,2,3,1,1,3,1,"R",609,"R",883,"R",372,"R",505,"R",203,"R",219,"R",7,"R",14,1,"R",325,"R",73,"R",20,"R",5,"R",440,"R",560,"R",450,"R",570,"B",.,"B",.,"R",17,"R",21,"R",15,"R",22,"R",16,"R",23,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,156,1,303,1,156,-2,1,1,"R",50,"R",50,"A",.,1,1,1,2,1,1,1,2,1,1,"R",623,2,"A",.,"R",2524,"R",3200,"A",.,2,"R",210,"R",233,"R",443,"R",1492,"R",877,"R",422,"R",21
141574,0,1,1,1,0,0,1,2,0,-2,0,0,0,1,1,1,1,1,1,1,0,0,2,1,2,1,1,1,3,1,1,3,1,"R",2973,"R",3923,"R",2001,"R",2678,"R",891,"R",1077,"R",21,"R",32,1,"R",1806,"R",89,"R",299,"R",15,"R",480,"R",580,"R",520,"R",620,"B",.,"B",.,"R",21,"R",25,"R",20,"R",25,"R",20,"R",26,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,137,1,137,1,137,1,137,-2,1,1,"R",50,"R",50,"R",60,1,1,1,1,1,1,1,1,1,1,"R",3080,2,"A",.,"R",3742,"R",3425,"A",.,2,"R",912,"R",1109,"R",2021,"R",6896,"R",4679,"R",1968,"R",53
141583,1,1,-2,0,1,0,2,-2,-2,-2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,1,3,3,2,3,3,1,2,"R",13,"R",41,"R",9,"R",36,"R",8,"R",34,"R",1,"R",2,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,2,1,"R",50,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",9,"R",36,"R",45,"R",54,"R",45,"R",42,"R",3
141608,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,1,"R",25,"A",.,"A",.,1,1,-2,-2,2,2,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
