unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,appdate,"xapplcnm",applcnm,"xapplcnw",applcnw,"xadmssnm",admssnm,"xadmssnw",admssnw,"xenrlftm",enrlftm,"xenrlftw",enrlftw,"xenrlptm",enrlptm,"xenrlptw",enrlptw,satactdt,"xsatnum",satnum,"xsatpct",satpct,"xactnum",actnum,"xactpct",actpct,"xsatvr25",satvr25,"xsatvr75",satvr75,"xsatmt25",satmt25,"xsatmt75",satmt75,"xactcm25",actcm25,"xactcm75",actcm75,"xacten25",acten25,"xacten75",acten75,"xactmt25",actmt25,"xactmt75",actmt75,credits1,credits2,credits3,credits4,slo1,slo2,slo3,slo4,slo5,slo51,slo52,slo53,slo6,slo7,slo8,slo81,slo82,slo83,slo9,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ft_ug,ft_ftug,ft_gd,ft_fp,pt_ug,pt_ftug,pt_gd,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt,"xenrlm",enrlm,"xenrlw",enrlw,"xenrlt",enrlt,"xapplcn",applcn,"xadmssn",admssn,"xenrlft",enrlft,"xenrlpt",enrlpt
198941,1,1,-2,0,0,0,1,5,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,-2,1,0,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",35,"A",,"A",,1,2,2,-2,1,2,2,2,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
198950,1,1,0,1,0,0,3,-2,-2,-2,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,1,8,1,0,1,2,1,1,1,1,1,3,1,1,2,"R",0,"R",1042,"R",0,"R",911,"R",0,"R",335,"R",0,"R",9,2,"R",325,"R",94,"R",75,"R",22,"R",470,"R",570,"R",470,"R",560,"R",18,"R",24,"R",18,"R",24,"R",18,"R",24,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,170,2,-2,2,-2,-2,-2,1,1,"R",35,"R",50,"A",,1,1,1,2,1,1,1,2,1,"R",950,1,"R",21,"R",2500,"R",2500,"A",,"R",0,"R",344,"R",344,"R",1042,"R",911,"R",335,"R",9
198969,0,1,0,0,0,0,4,-2,-2,71,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,8,1,0,1,2,1,2,1,2,2,3,1,1,1,"R",1379,"R",527,"R",1133,"R",477,"R",277,"R",118,"R",51,"R",23,1,"R",277,"R",57,"R",114,"R",24,"R",430,"R",530,"R",440,"R",550,"R",17,"R",21,"R",15,"R",20,"R",17,"R",21,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,171,1,171,1,171,1,171,-2,-2,1,1,"R",25,"R",50,"A",,1,1,1,2,1,1,2,2,1,"R",869,1,"R",21,"R",2990,"R",2950,"A",,"R",328,"R",141,"R",469,"R",1906,"R",1610,"R",395,"R",74
198978,0,1,-2,0,0,0,2,-2,-2,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,-2,1,0,-2,1,0,1,2,3,3,1,3,3,3,3,3,1,"R",29,"R",101,"R",29,"R",101,"R",17,"R",62,"R",6,"R",19,3,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,2,1,"R",35,"A",,"A",,1,1,-2,-2,1,1,-2,2,2,"A",,3,"A",,"A",,"A",,"A",,"R",23,"R",81,"R",104,"R",130,"R",130,"R",79,"R",25
198987,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,2,-2,1,1,2,1,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
198996,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,1,0,-2,1,0,1,2,3,3,3,3,3,3,3,3,2,"R",5,"R",57,"R",5,"R",57,"R",2,"R",46,"R",3,"R",11,3,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,1,"R",100,"A",,"A",,1,1,-2,-2,1,1,-2,-2,2,"A",,3,"A",,"A",,"A",,"A",,"R",5,"R",57,"R",62,"R",62,"R",62,"R",48,"R",14
199005,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,1,0,-2,1,0,1,2,3,3,3,3,3,3,3,3,2,"R",1,"R",21,"R",1,"R",21,"R",1,"R",21,"B",,"B",,3,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,1,"R",100,"A",,"A",,1,1,-2,-2,2,2,-2,-2,2,"A",,3,"A",,"A",,"A",,"A",,"R",1,"R",21,"R",22,"R",22,"R",22,"R",22,"B",
199014,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,1,0,-2,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,1,"R",100,"A",,"A",,1,1,-2,-2,2,2,-2,-2,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
199023,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,1,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,2,-2,1,1,2,1,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
199032,0,1,0,0,0,0,4,-2,-2,66,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,8,1,0,1,2,1,1,1,2,1,3,1,1,2,"R",196,"R",213,"R",153,"R",167,"R",71,"R",81,"R",2,"R",3,2,"R",78,"R",80,"R",20,"R",20,"R",450,"R",600,"R",425,"R",575,"R",19,"R",26,"B",,"B",,"B",,"B",,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,316,1,316,1,316,-2,-2,1,1,"R",25,"R",25,"A",,1,1,1,2,1,1,1,2,1,"R",365,2,"A",,"R",2256,"R",2186,"A",,"R",73,"R",84,"R",157,"R",409,"R",320,"R",152,"R",5
199069,0,1,0,0,0,0,4,-2,-2,41,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,2,2,2,2,1,2,2,3,2,2,1,"R",311,"R",341,"R",234,"R",267,"R",125,"R",125,"R",0,"R",0,1,"R",111,"R",44,"R",27,"R",11,"R",390,"R",520,"R",400,"R",520,"R",15,"R",20,"B",,"B",,"B",,"B",,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,139,1,139,1,139,-2,-2,1,1,"R",20,"A",,"A",,1,1,2,2,1,1,2,2,1,"R",298,1,"R",20,"R",1950,"R",2500,"A",,"R",125,"R",125,"R",250,"R",652,"R",501,"R",250,"R",0
199078,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,1,0,-2,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,1,"R",25,"A",,"A",,1,1,-2,-2,2,2,-2,-2,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
199087,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,8,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,2,-2,1,1,2,1,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
199096,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,1,0,-2,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,1,"R",100,"A",,"A",,1,1,-2,-2,1,1,-2,-2,2,"A",,3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
199102,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,1,8,1,0,1,2,1,2,1,1,3,3,1,1,1,"R",2623,"R",3013,"R",2096,"R",2476,"R",982,"R",1043,"R",10,"R",8,1,"R",1984,"R",97,"R",577,"R",28,"R",400,"R",490,"R",400,"R",500,"B",,"B",,"B",,"B",,"B",,"B",,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,121,1,121,1,121,1,121,-2,-2,1,1,"R",35,"R",35,"A",,1,1,1,2,1,1,1,1,1,"R",2897,1,"R",19,"R",2768,"R",2200,"A",,"R",992,"R",1051,"R",2043,"R",5636,"R",4572,"R",2025,"R",18
199111,0,1,0,0,0,0,1,2,0,-2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,8,0,0,1,2,1,1,1,1,2,3,1,1,1,"R",821,"R",1116,"R",492,"R",806,"R",173,"R",250,"R",3,"R",2,1,"R",409,"R",96,"R",88,"R",21,"R",530,"R",640,"R",520,"R",630,"B",,"B",,"B",,"B",,"B",,"B",,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,106,1,106,1,106,-2,-2,1,1,"R",50,"R",50,"A",,1,1,1,2,1,1,1,1,1,"R",1171,2,"A",,"R",2548,"R",2430,"A",,"R",176,"R",252,"R",428,"R",1937,"R",1298,"R",423,"R",5
