unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,appdate,"xapplcnm",applcnm,"xapplcnw",applcnw,"xadmssnm",admssnm,"xadmssnw",admssnw,"xenrlftm",enrlftm,"xenrlftw",enrlftw,"xenrlptm",enrlptm,"xenrlptw",enrlptw,satactdt,"xsatnum",satnum,"xsatpct",satpct,"xactnum",actnum,"xactpct",actpct,"xsatvr25",satvr25,"xsatvr75",satvr75,"xsatmt25",satmt25,"xsatmt75",satmt75,"xactcm25",actcm25,"xactcm75",actcm75,"xacten25",acten25,"xacten75",acten75,"xactmt25",actmt25,"xactmt75",actmt75,credits1,credits2,credits3,credits4,slo1,slo2,slo3,slo4,slo5,slo51,slo52,slo53,slo6,slo7,slo8,slo81,slo82,slo83,slo9,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,ptstu,pt_ug,pt_ftug,pt_gd,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt,"xenrlm",enrlm,"xenrlw",enrlw,"xenrlt",enrlt,"xapplcn",applcn,"xadmssn",admssn,"xenrlft",enrlft,"xenrlpt",enrlpt
155007,1,1,0,0,0,0,4,-2,-2,30,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-2,0,1,5,1,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,-1,"B",,"B",,"B",,1,1,1,2,2,1,1,1,2,2,2,"A",,3,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
155025,0,1,0,0,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,1,0,0,0,2,-2,-2,1,1,5,1,0,1,2,1,1,1,1,2,3,1,1,2,"R",457,"R",910,"R",330,"R",645,"R",259,"R",534,"R",7,"R",3,1,"R",10,"R",1,"R",673,"R",93,"A",,"A",,"A",,"A",,"R",17,"R",23,"R",17,"R",24,"R",18,"R",24,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,148,1,148,1,148,1,148,-2,-2,1,1,"R",25,"R",30,"R",40,1,1,1,1,2,1,1,1,1,1,1,"R",1084,2,"A",,"R",1968,"R",2078,"A",,"R",266,"R",537,"R",803,"R",1367,"R",975,"R",793,"R",10
155052,1,1,0,0,1,1,1,2,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,2,-2,-2,1,1,6,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,1,2,2,1,1,1,2,2,2,"A",,3,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
155061,0,1,1,0,0,0,1,2,0,-2,0,1,1,0,1,0,1,0,0,0,0,0,2,-2,-2,1,1,5,1,0,1,2,2,2,2,2,4,3,2,2,1,"R",487,"R",580,"R",487,"R",580,"R",296,"R",365,"R",8,"R",10,1,"A",,"A",,"R",679,"R",90,"A",,"A",,"A",,"A",,"R",19,"R",24,"R",18,"R",24,"R",18,"R",24,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,159,1,159,1,159,1,159,-2,-2,1,1,"R",25,"R",25,"A",,1,1,1,1,2,1,1,1,1,1,1,"R",871,2,"A",,"A",,"A",,"R",4162,"R",304,"R",375,"R",679,"R",1067,"R",1067,"R",661,"R",18
155070,0,1,0,0,0,0,4,-2,-2,65,1,0,1,0,1,0,0,0,0,0,0,0,2,-2,-2,1,0,-2,0,0,1,2,1,2,1,3,1,3,1,2,2,"R",34,"R",29,"R",22,"R",19,"R",11,"R",9,"R",0,"R",0,2,"A",,"A",,"R",15,"R",75,"A",,"A",,"A",,"A",,"R",15,"R",24,"R",17,"R",23,"R",16,"R",21,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",20,"A",,"A",,1,1,1,2,2,1,1,1,2,2,1,"R",228,1,"R",20,"R",1450,"R",2550,"A",,"R",11,"R",9,"R",20,"R",63,"R",41,"R",20,"Z",0
155089,0,1,0,0,0,0,3,-2,-2,-2,0,0,1,0,1,0,1,0,0,0,0,0,2,-2,-2,1,1,5,0,0,1,2,1,3,1,3,3,3,1,3,2,"R",204,"R",276,"R",172,"R",241,"R",83,"R",111,"R",2,"R",3,2,"R",9,"R",4,"R",176,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,309,1,309,1,309,1,309,-2,-2,1,1,"R",20,"R",45,"A",,1,1,1,1,2,1,1,1,1,2,1,"R",259,2,"A",,"R",1710,"R",2180,"A",,"R",85,"R",114,"R",199,"R",480,"R",413,"R",194,"R",5
155098,1,1,0,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,-2,-2,1,1,6,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,1,2,2,1,1,1,2,1,1,"R",214,1,"R",19,"A",,"A",,"R",3420,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
155104,1,1,0,1,1,0,1,2,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,2,-2,-2,1,1,5,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,0,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,1,2,2,1,1,1,2,1,1,"R",307,1,"R",19,"R",2300,"R",1700,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
155140,0,1,0,0,0,0,1,1,0,-2,0,0,1,0,1,0,0,0,0,0,0,0,2,-2,-2,0,1,5,0,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,322,1,322,1,322,1,322,-2,-2,1,1,"R",10,"A",,"A",,1,1,1,2,2,1,1,1,2,2,1,"R",827,1,"R",19,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
155159,1,0,0,0,0,0,2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,2,-2,-2,1,0,-2,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,2,"A",,"A",,"A",,1,1,2,2,2,2,2,2,2,2,2,"A",,3,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
