UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,ACCRD1,ACCRD2,REGACCRD,ACCRD3,ACCRD4,SACCR,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO1,SLO2,SLO3,SLO4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,INSTTOYR,PCTPOST,CALSYS,APFEE,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
221351,0,1,0,0,0,0,4,-2,-2,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8,0,0,2,2,1,1,1,1,1,2,1,1,2,"R",1483,"R",1946,"R",760,"R",1105,"R",205,"R",268,"R",0,"R",1,2,"R",271,"R",57,"R",203,"R",43,"R",600,"R",690,"R",590,"R",680,"R",25,"R",30,"R",26,"R",32,"R",24,"R",28,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,198,1,198,1,198,1,198,-2,-2,1,1,"R",45,"R",25,"A",.,1,1,1,2,1,1,1,2,2,1,"R",1212,1,"R",21,"A",.,"A",.,"R",6638,1,"R",205,"R",269,"R",474,"R",3429,"R",1865,"R",473,"R",1
221388,1,0,-2,0,1,0,1,2,0,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
221397,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1,2,3,3,1,3,3,3,1,1,2,"R",752,"R",1560,"R",752,"R",1560,"R",386,"R",658,"R",80,"R",201,2,"R",19,"R",0,"R",941,"R",71,"R",440,"R",520,"R",425,"R",500,"R",17,"R",21,"R",15,"R",22,"R",16,"R",20,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",10,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",466,"R",859,"R",1325,"R",2312,"R",2312,"R",1044,"R",281
221430,1,0,-2,0,0,0,1,2,0,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
221485,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,8,0,0,1,2,3,3,1,3,3,1,1,1,2,"R",2380,"R",3820,"R",861,"R",1322,"R",629,"R",946,"R",232,"R",376,1,"R",5,"R",0,"R",1192,"R",57,"B",.,"B",.,"B",.,"B",.,"R",14,"R",19,"R",13,"R",19,"R",14,"R",17,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",5,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",861,"R",1322,"R",2183,"R",6200,"R",2183,"R",1575,"R",608
221494,1,0,-2,0,0,0,1,2,0,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
221519,0,1,0,0,0,0,4,-2,-2,73,0,0,0,0,1,1,1,0,1,1,1,0,1,1,8,0,0,1,2,1,2,1,1,1,2,1,1,2,"R",1068,"R",1002,"R",626,"R",702,"R",191,"R",207,"R",0,"R",0,2,"R",344,"R",86,"R",197,"R",49,"R",580,"R",660,"R",570,"R",660,"R",24,"R",29,"B",.,"B",.,"B",.,"B",.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,198,1,198,1,198,1,198,-2,-2,1,1,"R",45,"R",25,"R",25,1,1,1,1,1,2,1,1,2,1,"R",1300,1,"R",21,"R",3640,"R",3480,"A",.,1,"R",191,"R",207,"R",398,"R",2070,"R",1328,"R",398,"R",0
221582,1,0,-2,0,1,1,1,2,0,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
221591,1,0,-2,0,1,1,1,2,0,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
221607,1,0,-2,0,0,0,1,2,0,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,2,"A",.,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
